supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,walk_free_vulnerability_score,walk_free_government_response_score,us_tip_report_tier,vulnerability_trend,government_response_trend,overall_risk_trajectory,key_risk_driver,context,monitoring_signals
Garmin International,Global Headquarters,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Garmin International,Olathe Manufacturing,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Garmin International,Garmin Salem,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Garmin International,Garmin Chandler,Modern Slavery,Very Low,High,Stable,Within 12 Months,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Strong institutional framework; bipartisan anti-trafficking legislation intact,"Federal anti-TIP enforcement infrastructure (DOJ, DHS, State Dept TIP Office) intact despite executive branch reprioritisation. Walk Free vulnerability score (25) near structural floor. State-level supply chain due diligence laws (California, New York) provide sub-federal buffer. No credible pathway to cluster reclassification within 12 months.",Federal TIP Office budget allocations; DOJ anti-trafficking prosecution statistics; any executive orders affecting anti-slavery program funding
Garmin International,Lin Kou Plant (Taiwan),Modern Slavery,Low,High,Improving,Within 12 Months,21.0,47.0,Tier 1,Stable,Improving,Tier 1 – Stable,Taiwan Human Trafficking Prevention Act (2024) strengthening institutional capacity and government response sub-scores,"Amended legislation (enacted 2024) enhances victim identification protocols, survivor support mandates, and criminal penalties for traffickers. Government response sub-score expected to improve in the next Walk Free data cycle. Migrant worker protections in electronics/manufacturing sector strengthened under labor inspectorate reforms. Tier 1 status well-established.",Implementation progress of 2024 Human Trafficking Prevention Act provisions; labor inspectorate capacity in manufacturing zones; migrant worker broker fee enforcement data
Garmin International,Zhongli Plant (Taiwan),Modern Slavery,Low,High,Improving,Within 12 Months,21.0,47.0,Tier 1,Stable,Improving,Tier 1 – Stable,Taiwan Human Trafficking Prevention Act (2024) strengthening institutional capacity and government response sub-scores,"Amended legislation (enacted 2024) enhances victim identification protocols, survivor support mandates, and criminal penalties for traffickers. Government response sub-score expected to improve in the next Walk Free data cycle. Migrant worker protections in electronics/manufacturing sector strengthened under labor inspectorate reforms. Tier 1 status well-established.",Implementation progress of 2024 Human Trafficking Prevention Act provisions; labor inspectorate capacity in manufacturing zones; migrant worker broker fee enforcement data
Garmin International,Tainan Plant (Taiwan),Modern Slavery,Low,High,Improving,Within 12 Months,21.0,47.0,Tier 1,Stable,Improving,Tier 1 – Stable,Taiwan Human Trafficking Prevention Act (2024) strengthening institutional capacity and government response sub-scores,"Amended legislation (enacted 2024) enhances victim identification protocols, survivor support mandates, and criminal penalties for traffickers. Government response sub-score expected to improve in the next Walk Free data cycle. Migrant worker protections in electronics/manufacturing sector strengthened under labor inspectorate reforms. Tier 1 status well-established.",Implementation progress of 2024 Human Trafficking Prevention Act provisions; labor inspectorate capacity in manufacturing zones; migrant worker broker fee enforcement data
Garmin International,Garmin Europe HQ,Modern Slavery,Very Low,High,Stable,Within 12 Months,14.0,68.0,Tier 1,Stable,Stable,Tier 1 – Stable,UK Modern Slavery Act 2015 framework intact; government response score (68) among highest in dataset,"MSA 2015 annual reporting obligations for large businesses, strengthened Section 54 transparency statements, and Home Office victim support infrastructure maintain a strong baseline. Low vulnerability score (14). No legislative changes imminent that would materially alter the government response sub-scores within 12 months.",Any proposed amendments to Modern Slavery Act reporting requirements; government anti-trafficking spending; Home Office NRM referral statistics
Garmin International,Würzburg R&D (Germany),Modern Slavery,Very Low,High,Improving,Within 12 Months,11.0,62.0,Tier 1,Stable,Improving,Tier 1 – Stable,German Supply Chain Due Diligence Act (LkSG / Lieferkettensorgfaltspflichtengesetz) operational since Jan 2023; CSDDD transposition underway,BAFA (Federal Office for Economic Affairs and Export Control) enforcement of LkSG is actively issuing guidance and conducting initial compliance reviews. Government response sub-scores expected to improve in next Walk Free data cycle as supply chain enforcement mechanisms are operationalised. Vulnerability score (11) at structural low.,BAFA LkSG enforcement actions and fines; CSDDD national transposition timeline; Walk Free 2027 Germany government response sub-score
Garmin International,Garmin Cluj (Romania),Modern Slavery,Very Low,High,Stable,Within 12 Months,26.0,58.0,Tier 2,Stable,Stable,Tier 2 – Stable,EU membership provides structural floor; EU anti-trafficking Directive (2024/1712) transposition underway,"Romania's Tier 2 status reflects persistent transit/destination country concerns for trafficking (Eastern European migration corridors), but vulnerability (26) and government response (58) scores are consistent with cluster 3 (Very Low). EU Anti-Trafficking Directive 2024/1712 requires national transposition; Romanian implementation expected to strengthen victim identification and prosecution capacity.",EU Anti-Trafficking Directive national transposition progress; Romanian NRM (National Referral Mechanism) referral statistics; labour inspectorate enforcement in manufacturing
