supplier_name,facility_name,risk_type,risk_level,timeframe,context
Garmin International,Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive hq & aviation r&d) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Olathe Manufacturing,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Garmin International,Garmin Salem,Waste Water,Low,Baseline,Basin characterised by low water stress.
Garmin International,Garmin Chandler,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (software & hardware r&d hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Lin Kou Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Zhongli Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Tainan Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Garmin Europe HQ,Waste Water,Medium,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by medium-high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Würzburg R&D (Germany),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (automotive oem & software r&d) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Cluj (Romania),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (global software development hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Singapore,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (se asia sales & support hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Birtley (UK),Waste Water,Very Low,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Garmin Australasia,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (apac sales & customer support) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,TTI Innovation Center,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
Techtronic Industries,Milwaukee Tool Global HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (r&d & executive admin) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,Milwaukee Tool Jackson Plant,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
Techtronic Industries,Milwaukee Tool Grenada Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Waste Water,Low,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Clinton Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool West Bend,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Empire Level (Subsidiary),Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Milwaukee Tool Torreon,Waste Water,Very High,Baseline,Basin characterised by extremely high water stress.
Techtronic Industries,TTI Floor Care N.A.,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (hoover/oreck/dirt devil hq) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,TTI Dongguan Hub,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Techtronic Industries,TTI Vietnam (SHTP),Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Techtronic Industries,DreBo Werkzeugfabrik,Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Ryobi Die Casting (USA),Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive leadership & global admin) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",North America HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional hub / commercial operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Waste Water,High,Baseline,"Basin characterised by high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (b2b division global headquarters) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional hq for emea) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (latin america regional hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
