supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,facility_worker_category,automation_displacement_risk,ilo_sdg_8_8_2_score,working_poverty_rate_pct,work_injury_coverage_rate,minimum_wage_ppp_usd_monthly,country_signal,sector_signal,context,monitoring_signals
Garmin International,Global Headquarters,Worker Rights - Labour Rights,High,Moderate,Stable,Within 12 Months,Professional / Office,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low automation displacement risk for professional/office workers within 12 months. Knowledge workers retain market leverage; AI tools augment rather than replace senior roles in this timeframe. Primary risk: algorithmic performance management and increased workload intensity without commensurate rights protections.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low automation displacement risk for professional/office workers within 12 months. Knowledge workers retain market leverage; AI tools augment rather than replace senior roles in this timeframe. Primary risk: algorithmic performance management and increased workload intensity without commensurate rights protections.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Global Headquarters,Worker Rights - Remuneration,Low,Moderate,Stable,Within 12 Months,Professional / Office,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low automation displacement risk for professional/office workers within 12 months. Knowledge workers retain market leverage; AI tools augment rather than replace senior roles in this timeframe. Primary risk: algorithmic performance management and increased workload intensity without commensurate rights protections.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low automation displacement risk for professional/office workers within 12 months. Knowledge workers retain market leverage; AI tools augment rather than replace senior roles in this timeframe. Primary risk: algorithmic performance management and increased workload intensity without commensurate rights protections.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Olathe Manufacturing,Worker Rights - Labour Rights,High,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Olathe Manufacturing,Worker Rights - Remuneration,Low,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Salem,Worker Rights - Labour Rights,High,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Salem,Worker Rights - Remuneration,Low,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Chandler,Worker Rights - Labour Rights,High,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Garmin Chandler,Worker Rights - Remuneration,Low,Moderate,Stable,Within 12 Months,Technical / Engineering Production,Low,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor.",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: ILO SDG 8.8.2 score of 3.83 reflects genuine constraints on right to association and collective bargaining under current US labour law (RTW statutes in ~27 states, NLRA limitations on secondary boycotts, card-check prohibition). The PRO Act — which would substantially reform these constraints — has stalled in the Senate with no legislative pathway in the current Congress. No institutional improvement expected within 12 months. NLRB enforcement has been active under recent Democrat-appointed boards but rule-making is subject to judicial challenge. Remuneration risk remains Low: minimum wage at PPP $1,257/month and near-zero working poverty rate (0%) maintain strong purchasing power floor. SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",PRO Act legislative progress; NLRB rule-making survival under judicial review; US manufacturing union density statistics; BLS contingent worker data; warehouse automation injury rate statistics
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Labour Rights,Very Low,High,Stable,Within 12 Months,Technical / Engineering Production,Low,0.0,0.0,0.0,0.0,"Taiwan's SDG 8.8.2 score of 0.0 (exact zero) reflects very strong institutional compliance with ILO labour standards. 2024 Human Trafficking Prevention Act adds further protections. The Medium remuneration risk reflects a zero value for the minimum wage statistic in the ILO database (Taiwan's data reporting gaps) rather than a genuine remuneration weakness — Taiwan's actual minimum wage (NTD 27,470/month ≈ $840 USD) and comprehensive labour insurance are materially stronger than the metric suggests. Real wages in Taiwan's electronics/tech manufacturing sector are substantially above minimum. Work injury coverage data also reported as zero (data gap not structural absence of coverage).",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: Taiwan's SDG 8.8.2 score of 0.0 (exact zero) reflects very strong institutional compliance with ILO labour standards. 2024 Human Trafficking Prevention Act adds further protections. The Medium remuneration risk reflects a zero value for the minimum wage statistic in the ILO database (Taiwan's data reporting gaps) rather than a genuine remuneration weakness — Taiwan's actual minimum wage (NTD 27,470/month ≈ $840 USD) and comprehensive labour insurance are materially stronger than the metric suggests. Real wages in Taiwan's electronics/tech manufacturing sector are substantially above minimum. Work injury coverage data also reported as zero (data gap not structural absence of coverage). SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",ILO SDG 8.8.2 Taiwan score improvement; Ministry of Labour enforcement statistics; next Walk Free data cycle Taiwan remuneration data; Garmin Taiwan facility-level audits
Garmin International,Lin Kou Plant (Taiwan),Worker Rights - Remuneration,Medium,High,Improving,Within 12 Months,Technical / Engineering Production,Low,0.0,0.0,0.0,0.0,"Taiwan's SDG 8.8.2 score of 0.0 (exact zero) reflects very strong institutional compliance with ILO labour standards. 2024 Human Trafficking Prevention Act adds further protections. The Medium remuneration risk reflects a zero value for the minimum wage statistic in the ILO database (Taiwan's data reporting gaps) rather than a genuine remuneration weakness — Taiwan's actual minimum wage (NTD 27,470/month ≈ $840 USD) and comprehensive labour insurance are materially stronger than the metric suggests. Real wages in Taiwan's electronics/tech manufacturing sector are substantially above minimum. Work injury coverage data also reported as zero (data gap not structural absence of coverage).",Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.,"COUNTRY SIGNAL: Taiwan's SDG 8.8.2 score of 0.0 (exact zero) reflects very strong institutional compliance with ILO labour standards. 2024 Human Trafficking Prevention Act adds further protections. The Medium remuneration risk reflects a zero value for the minimum wage statistic in the ILO database (Taiwan's data reporting gaps) rather than a genuine remuneration weakness — Taiwan's actual minimum wage (NTD 27,470/month ≈ $840 USD) and comprehensive labour insurance are materially stronger than the metric suggests. Real wages in Taiwan's electronics/tech manufacturing sector are substantially above minimum. Work injury coverage data also reported as zero (data gap not structural absence of coverage). SECTOR SIGNAL: Low-medium automation displacement risk for technical/regulated production within 12 months. Regulatory compliance requirements in pharma and electronics manufacturing mandate skilled human oversight; automation replaces specific tasks within a process rather than entire roles. Worker rights in these facilities tend to be better enforced due to regulatory audit requirements.",ILO SDG 8.8.2 Taiwan score improvement; Ministry of Labour enforcement statistics; next Walk Free data cycle Taiwan remuneration data; Garmin Taiwan facility-level audits
