supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Humidex Heat Stress,High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project High risk (113 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Olathe Manufacturing,Humidex Heat Stress,High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project High risk (113 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Salem,Humidex Heat Stress,Low,High,Stable,Within 12 Months,All SSP scenarios consistently project Low risk (25 days/year ≥ HX40).
Garmin International,Garmin Chandler,Humidex Heat Stress,High,High,Stable,Within 12 Months,All SSP scenarios consistently project High risk (122 days/year ≥ HX40).
Garmin International,Lin Kou Plant (Taiwan),Humidex Heat Stress,Medium,High,Stable,Within 12 Months,All SSP scenarios consistently project Medium risk (84 days/year ≥ HX40).
Garmin International,Zhongli Plant (Taiwan),Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 33 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Garmin International,Tainan Plant (Taiwan),Humidex Heat Stress,Very High,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Very High risk (164 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Europe HQ,Humidex Heat Stress,Negligible,Medium,Improving,Within 12 Months,Humidex heat stress risk (Negligible) is expected to persist within this 12-month horizon. Seasonal temperature variability applies but no structural change in occupational heat risk anticipated.
Garmin International,Würzburg R&D (Germany),Humidex Heat Stress,Low,Medium,Deteriorating,Within 12 Months,"SSP scenarios project 22 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Garmin International,Garmin Cluj (Romania),Humidex Heat Stress,Low,High,Deteriorating,Within 12 Months,All SSP scenarios consistently project Low risk (28 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Singapore,Humidex Heat Stress,Critical,High,Stable,Within 12 Months,All SSP scenarios consistently project Critical risk (365 days/year ≥ HX40).
