supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Garmin International,Olathe Manufacturing,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in this region, which may marginally affect the assimilative capacity of receiving water bodies."
Garmin International,Garmin Salem,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in this region, which may marginally affect the assimilative capacity of receiving water bodies."
Garmin International,Garmin Chandler,Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Garmin International,Lin Kou Plant (Taiwan),Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in Taiwan, which may marginally affect the assimilative capacity of receiving water bodies."
Garmin International,Zhongli Plant (Taiwan),Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in Taiwan, which may marginally affect the assimilative capacity of receiving water bodies."
Garmin International,Tainan Plant (Taiwan),Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in Taiwan, which may marginally affect the assimilative capacity of receiving water bodies."
Garmin International,Garmin Europe HQ,Waste Water,Medium,Medium,Stable,Within 5 Years,"Water stress in this region is projected to increase under SSP2-4.5 by 2030 (IPCC AR6; WRI Aqueduct futures), reducing the dilution and assimilative capacity of local water bodies. Medium wastewater risk expected to persist."
Garmin International,Würzburg R&D (Germany),Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Garmin International,Garmin Cluj (Romania),Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Garmin International,Garmin Singapore,Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Garmin International,Garmin Birtley (UK),Waste Water,Very Low,Medium,Stable,Within 5 Years,Very low wastewater risk expected to persist. WRI Aqueduct futures projections indicate modest increases in basin water stress in United Kingdom but insufficient to alter risk classification within this horizon.
Garmin International,Garmin Australasia,Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Techtronic Industries,TTI Innovation Center,Waste Water,Medium,Medium,Stable,Within 5 Years,"Water stress in this region is projected to increase under SSP2-4.5 by 2030 (IPCC AR6; WRI Aqueduct futures), reducing the dilution and assimilative capacity of local water bodies. Medium wastewater risk expected to persist."
Techtronic Industries,Milwaukee Tool Global HQ,Waste Water,Negligible,Medium,Stable,Within 5 Years,No significant wastewater risk over the 5-year horizon. WRI Aqueduct water stress projections (SSP2-4.5) do not indicate material increases in basin stress relevant to this facility type.
Techtronic Industries,Milwaukee Tool Jackson Plant,Waste Water,Medium,Medium,Stable,Within 5 Years,"Water stress in United Kingdom is projected to increase under SSP2-4.5 by 2030 (IPCC AR6; WRI Aqueduct futures), reducing the dilution and assimilative capacity of local water bodies. Medium wastewater risk expected to persist."
Techtronic Industries,Milwaukee Tool Grenada Plant,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in United Kingdom, which may marginally affect the assimilative capacity of receiving water bodies."
Techtronic Industries,Milwaukee Tool Greenwood Plant,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in United Kingdom, which may marginally affect the assimilative capacity of receiving water bodies."
Techtronic Industries,Milwaukee Tool Olive Branch DC,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in United Kingdom, which may marginally affect the assimilative capacity of receiving water bodies."
Techtronic Industries,Milwaukee Tool Clinton Plant,Waste Water,Low,Medium,Stable,Within 5 Years,"Low wastewater risk expected to remain stable. WRI Aqueduct futures projections indicate modest increases in basin water stress in United Kingdom, which may marginally affect the assimilative capacity of receiving water bodies."
