supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,enforcement_status,context,monitoring_signals
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing electronics produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing electronics from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing aluminum produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing aluminum from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing polysilicon produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing polysilicon from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing electronics produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing electronics from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing aluminum produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing aluminum from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing electronics produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing electronics from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing polysilicon produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing polysilicon from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing toys produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing toys from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing cotton produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing cotton from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
ZURU LLC.,ZURU Huizhou Smart Factory,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing textiles (all) produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing textiles (all) from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
ZURU LLC.,ZURU Guangzhou Plant,Restricted Goods - Forced Labor,Regulatory obligation from December 2027,High,Deteriorating,Within 5 Years,Compliance,EU Forced Labour Regulation (applicable Dec 2027) will prohibit EU market access for any goods containing toys produced with forced labour from China. No size-of-company exemption applies. Market withdrawal and destruction orders are the enforcement mechanism. All EU-destined supply chains sourcing toys from China require verified forced-labour-free traceability by December 2027.,EU Forced Labour Regulation (EU) 2024/3015 — Applicable December 2027,EU Official Journal — Regulation (EU) 2024/3015; European Commission Guidance,EU,China,New_Regulatory_Framework,"EU Forced Labour Regulation (Regulation (EU) 2024/3015) was published November 2024 and will apply from December 2027. It prohibits placing on the EU market any goods produced with forced labour, regardless of origin. Unlike CSDDD, it applies to ALL goods and ALL companies (no size threshold). Competent national authorities will investigate and order market withdrawal and destruction of non-compliant goods. This is the most significant new social risk regulatory framework for EU-destined supply chains within the 5-year horizon.","Monitor EU Commission implementing regulations (product and country prioritisation lists expected 2025-2026); national competent authority designation; EU Forced Labour Single Entry Point portal; industry guidance from ETOA, amfori, ecovadis on compliance programme design"
