supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_drought_probabiltiy
Garmin International,Global Headquarters,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = 0.155; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.263; trend delta = +0.108.,13.4%
Garmin International,Olathe Manufacturing,Drought,Low,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = 0.155; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.263; trend delta = +0.108.,13.4%
Garmin International,Garmin Salem,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (20.7% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.148; drought frequency (SPEI-3 < -1.0) = 20.7%; recent mean (2015-2025) = -0.573; trend delta = -0.425.,20.7%
Garmin International,Garmin Chandler,Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.383; drought frequency (SPEI-3 < -1.0) = 29.8%; recent mean (2015-2025) = -0.766; trend delta = -0.383.,29.8%
Garmin International,Lin Kou Plant (Taiwan),Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (25.5% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.246; drought frequency (SPEI-3 < -1.0) = 25.5%; recent mean (2015-2025) = -1.038; trend delta = -0.792.,25.5%
Garmin International,Zhongli Plant (Taiwan),Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (26.6% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.147; drought frequency (SPEI-3 < -1.0) = 26.6%; recent mean (2015-2025) = -0.824; trend delta = -0.677.,26.6%
Garmin International,Tainan Plant (Taiwan),Drought,High,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (23.9% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.22; drought frequency (SPEI-3 < -1.0) = 23.9%; recent mean (2015-2025) = -1.052; trend delta = -0.832.,23.9%
Garmin International,Garmin Europe HQ,Drought,Medium,High,High,Within 12 Months,Drought climatology is persistent over short horizons. Baseline drought frequency (18.5% of months) remains the best near-term estimate; seasonal variability applies. SPEI-3 data: baseline mean (1990-2020) = -0.018; drought frequency (SPEI-3 < -1.0) = 18.5%; recent mean (2015-2025) = -0.011; trend delta = +0.007.,18.5%
Garmin International,Würzburg R&D (Germany),Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.141; drought frequency (SPEI-3 < -1.0) = 22.0%; recent mean (2015-2025) = -0.267; trend delta = -0.126.,22.0%
Garmin International,Garmin Cluj (Romania),Drought,Negligible,High,High,Within 12 Months,Administrative or non-industrial facility with negligible operational water demand. Regional drought conditions do not materially affect operations at this site over a 12-month horizon. SPEI-3 data: baseline mean (1990-2020) = -0.305; drought frequency (SPEI-3 < -1.0) = 26.1%; recent mean (2015-2025) = -0.207; trend delta = +0.098.,26.1%
