supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Inland Flooding,Very Low,High,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk to this location. All SSP scenarios consistently project Very Low flood risk with no material change expected within 12 months.
Garmin International,Olathe Manufacturing,Inland Flooding,Very Low,High,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk to this location. All SSP scenarios consistently project Very Low flood risk with no material change expected within 12 months.
Garmin International,Garmin Salem,Inland Flooding,Very Low,Low,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk. SSP scenario spread is wide at this location; Very Low classification reflects the central estimate within a 12-month horizon.
Garmin International,Garmin Chandler,Inland Flooding,Very Low,High,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk to this location. All SSP scenarios consistently project Very Low flood risk with no material change expected within 12 months.
Garmin International,Lin Kou Plant (Taiwan),Inland Flooding,Very Low,High,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk to this location. All SSP scenarios consistently project Very Low flood risk with no material change expected within 12 months.
Garmin International,Zhongli Plant (Taiwan),Inland Flooding,Very Low,Low,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk. SSP scenario spread is wide at this location; Very Low classification reflects the central estimate within a 12-month horizon.
Garmin International,Tainan Plant (Taiwan),Inland Flooding,Very Low,Low,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk. SSP scenario spread is wide at this location; Very Low classification reflects the central estimate within a 12-month horizon.
Garmin International,Garmin Europe HQ,Inland Flooding,Very Low,Low,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk. SSP scenario spread is wide at this location; Very Low classification reflects the central estimate within a 12-month horizon.
Garmin International,Würzburg R&D (Germany),Inland Flooding,Very Low,Low,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk. SSP scenario spread is wide at this location; Very Low classification reflects the central estimate within a 12-month horizon.
Garmin International,Garmin Cluj (Romania),Inland Flooding,Very Low,High,Stable,Within 12 Months,Probabilistic inland flood model assigns very low flood risk to this location. All SSP scenarios consistently project Very Low flood risk with no material change expected within 12 months.
