supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,enforcement_status,context,monitoring_signals
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement on electronics from China is intensifying. CBP detention volumes are rising and the UFLPA Entity List is expanding to new Chinese manufacturers of electronics. Milwaukee Tool's Dongguan operations face increasing supply chain tracing burdens to demonstrate UFLPA compliance.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List; Congressional-Executive Commission on China (CECC),USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement on aluminum from China is intensifying. CBP detention volumes are rising and the UFLPA Entity List is expanding to new Chinese manufacturers of aluminum. Milwaukee Tool's Dongguan operations face increasing supply chain tracing burdens to demonstrate UFLPA compliance.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List; Congressional-Executive Commission on China (CECC),USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Techtronic Industries,TTI Dongguan Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement on polysilicon from China is intensifying. CBP detention volumes are rising and the UFLPA Entity List is expanding to new Chinese manufacturers of polysilicon. Milwaukee Tool's Dongguan operations face increasing supply chain tracing burdens to demonstrate UFLPA compliance.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List; Congressional-Executive Commission on China (CECC),USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin electronics creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin aluminum creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin polysilicon creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin electronics creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin aluminum creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin polysilicon creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Restricted Goods - Forced Labor,Already happening — enforcement intensifying,High,Deteriorating,Within 12 Months,Disruption,UFLPA enforcement escalation on Chinese-origin electronics creates detention risk at US ports for Greatstar products containing these inputs. US importers must demonstrate that no forced labour from China is present in the supply chain or face CBP holds.,Uyghur Forced Labor Prevention Act (UFLPA) — CBP Enforcement Escalation,US CBP Enforcement Data; UFLPA Entity List,USA,China,Restriction_Escalating,US CBP quarterly detention data shows a sustained year-on-year increase in UFLPA-related holds on Chinese-origin goods. The UFLPA Entity List receives quarterly updates adding new Chinese manufacturers. Congressional oversight hearings in 2025 have called for expanded enforcement beyond XUAR-linked goods to any goods where forced labour cannot be excluded from the supply chain.,Monitor UFLPA Entity List quarterly updates (CBP.gov); US CBP trade statistics for China-origin holds; Congressional CECC reports; Kharon and Sayari Analytics entity screening for supplier relationships
