supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,walk_free_vulnerability_score,walk_free_government_response_score,us_tip_report_tier,vulnerability_trend,government_response_trend,overall_risk_trajectory,key_risk_driver,context,monitoring_signals
Garmin International,Global Headquarters,Modern Slavery,Very Low,Moderate,Stable,Within 5 Years,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Structural resilience maintained; sustained executive deprioritisation a tail risk to government response sub-score,"Over a 5-year horizon, sustained federal deprioritisation of anti-trafficking programs could begin to affect Walk Free government response sub-scores (criminal justice mechanisms, survivor support). However, state-level legislative momentum (FASLA, CA Transparency in Supply Chains Act) and private sector compliance programs provide structural buffer. No credible pathway to cluster migration from 3 to 4.",Walk Free 2027 Government Response sub-score for USA; Congressional appropriations for anti-TIP programs; state-level MSA legislation activity
Garmin International,Olathe Manufacturing,Modern Slavery,Very Low,Moderate,Stable,Within 5 Years,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Structural resilience maintained; sustained executive deprioritisation a tail risk to government response sub-score,"Over a 5-year horizon, sustained federal deprioritisation of anti-trafficking programs could begin to affect Walk Free government response sub-scores (criminal justice mechanisms, survivor support). However, state-level legislative momentum (FASLA, CA Transparency in Supply Chains Act) and private sector compliance programs provide structural buffer. No credible pathway to cluster migration from 3 to 4.",Walk Free 2027 Government Response sub-score for USA; Congressional appropriations for anti-TIP programs; state-level MSA legislation activity
Garmin International,Garmin Salem,Modern Slavery,Very Low,Moderate,Stable,Within 5 Years,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Structural resilience maintained; sustained executive deprioritisation a tail risk to government response sub-score,"Over a 5-year horizon, sustained federal deprioritisation of anti-trafficking programs could begin to affect Walk Free government response sub-scores (criminal justice mechanisms, survivor support). However, state-level legislative momentum (FASLA, CA Transparency in Supply Chains Act) and private sector compliance programs provide structural buffer. No credible pathway to cluster migration from 3 to 4.",Walk Free 2027 Government Response sub-score for USA; Congressional appropriations for anti-TIP programs; state-level MSA legislation activity
Garmin International,Garmin Chandler,Modern Slavery,Very Low,Moderate,Stable,Within 5 Years,25.0,67.0,Tier 1,Stable,Stable,Tier 1 – Stable,Structural resilience maintained; sustained executive deprioritisation a tail risk to government response sub-score,"Over a 5-year horizon, sustained federal deprioritisation of anti-trafficking programs could begin to affect Walk Free government response sub-scores (criminal justice mechanisms, survivor support). However, state-level legislative momentum (FASLA, CA Transparency in Supply Chains Act) and private sector compliance programs provide structural buffer. No credible pathway to cluster migration from 3 to 4.",Walk Free 2027 Government Response sub-score for USA; Congressional appropriations for anti-TIP programs; state-level MSA legislation activity
Garmin International,Lin Kou Plant (Taiwan),Modern Slavery,Very Low,Moderate,Improving,Within 5 Years,21.0,47.0,Tier 1,Improving,Improving,Tier 1 – Improving toward cluster 3 boundary,Sustained institutional improvement may support cluster migration from 1 (Low) to 3 (Very Low) within 5-year horizon,"If 2024 Act implementation is sustained and Walk Free government response sub-scores improve, Taiwan's cluster profile approaches the cluster 3 (Very Low) boundary. Vulnerability score (21) already below cluster 3 median; government response (47) is the binding constraint. Continued economic development and democratic governance provide structural improving pressure. No geopolitical shock scenario would reverse this trend absent major conflict.",Walk Free 2027 Taiwan scores (vulnerability and government response); TIP Report tier continuity; labor standards enforcement data in export manufacturing zones
Garmin International,Zhongli Plant (Taiwan),Modern Slavery,Very Low,Moderate,Improving,Within 5 Years,21.0,47.0,Tier 1,Improving,Improving,Tier 1 – Improving toward cluster 3 boundary,Sustained institutional improvement may support cluster migration from 1 (Low) to 3 (Very Low) within 5-year horizon,"If 2024 Act implementation is sustained and Walk Free government response sub-scores improve, Taiwan's cluster profile approaches the cluster 3 (Very Low) boundary. Vulnerability score (21) already below cluster 3 median; government response (47) is the binding constraint. Continued economic development and democratic governance provide structural improving pressure. No geopolitical shock scenario would reverse this trend absent major conflict.",Walk Free 2027 Taiwan scores (vulnerability and government response); TIP Report tier continuity; labor standards enforcement data in export manufacturing zones
Garmin International,Tainan Plant (Taiwan),Modern Slavery,Very Low,Moderate,Improving,Within 5 Years,21.0,47.0,Tier 1,Improving,Improving,Tier 1 – Improving toward cluster 3 boundary,Sustained institutional improvement may support cluster migration from 1 (Low) to 3 (Very Low) within 5-year horizon,"If 2024 Act implementation is sustained and Walk Free government response sub-scores improve, Taiwan's cluster profile approaches the cluster 3 (Very Low) boundary. Vulnerability score (21) already below cluster 3 median; government response (47) is the binding constraint. Continued economic development and democratic governance provide structural improving pressure. No geopolitical shock scenario would reverse this trend absent major conflict.",Walk Free 2027 Taiwan scores (vulnerability and government response); TIP Report tier continuity; labor standards enforcement data in export manufacturing zones
Garmin International,Garmin Europe HQ,Modern Slavery,Very Low,Moderate,Stable,Within 5 Years,14.0,68.0,Tier 1,Stable,Stable,Tier 1 – Stable; minor deregulatory risk,Deregulatory agenda under current government creates modest tail risk to MSA enforcement ambition; CSDDD non-participation limits EU-driven uplift,"The current UK government's stated intention to reduce business regulatory burden creates a modest tail risk that MSA reporting thresholds may be raised or enforcement ambition reduced. UK's post-Brexit non-participation in CSDDD means it will not benefit from the uplift in supply chain due diligence standards that EU-member competitors face. However, structural vulnerability remains very low and Tier 1 status is not threatened over any plausible 5-year trajectory.",Business Regulatory Reform consultations affecting MSA; Home Office Modern Slavery strategy publication; UK-EU trade relationship evolution
Garmin International,Würzburg R&D (Germany),Modern Slavery,Very Low,High,Improving,Within 5 Years,11.0,62.0,Tier 1,Stable,Improving,Tier 1 – Stable,Full CSDDD implementation and mature LkSG enforcement cycle expected by 2028-29; Germany's government response trajectory among strongest in EU,"By the 5-year horizon, CSDDD will be in full force for German companies (initial application to large firms from ~2027, cascading to mid-caps by 2028). Combined with mature LkSG enforcement, Germany's government response sub-scores are expected to improve substantially. Structural vulnerability remains at near-zero levels.",CSDDD national transposition and first enforcement actions; German Nationales Aktionsplan (NAP) renewal; Walk Free 2027+ government response sub-scores
Garmin International,Garmin Cluj (Romania),Modern Slavery,Very Low,Moderate,Improving,Within 5 Years,26.0,58.0,Tier 2,Improving,Improving,Tier 2 – Potential Tier 1 movement by 2028-29,Continued EU structural funds investment and CSDDD-driven institutional improvement provide trajectory toward Tier 1 classification,"Romania's EU accession trajectory and CSDDD obligations create institutional pressure to strengthen criminal justice response to trafficking. If prosecution and conviction rates for trafficking offences improve (the primary Tier 2 driver), a Tier 1 reclassification becomes plausible within the 5-year window. EU Just Transition Fund and Cohesion Fund investments may reduce structural vulnerability sub-scores.",Romanian anti-trafficking prosecution and conviction statistics; CSDDD transposition progress; Walk Free vulnerability sub-score trajectory for Eastern EU members
Garmin International,Garmin Singapore,Modern Slavery,Low,Moderate,Stable,Within 5 Years,24.0,47.0,Tier 1,Stable,Improving,Tier 1 – Stable; PHTA reform could improve government response sub-score,Structural migrant worker dependency limits cluster migration; PHTA reform could improve government response but vulnerability floor remains,"Over 5 years, Singapore's government response sub-score may improve if PHTA reforms are enacted and MOM enforcement strengthened. However, the fundamental structural vulnerability created by the Foreign Domestic Worker (FDW) and migrant construction worker systems is not expected to change materially. Cluster 1 (Low) is the most likely 5-year outcome; cluster 3 (Very Low) is possible but requires both vulnerability reduction and government response improvement simultaneously.",PHTA legislative reform progress; MOM FDW regulation changes; Walk Free 2027 Singapore scores; ILO FDW convention ratification consideration
