supplier_name,facility_name,risk_type,risk_level,timeframe,context
Garmin International,Global Headquarters,Humidex Heat Stress,Medium,Baseline,Historical mean of 89 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Olathe Manufacturing,Humidex Heat Stress,Medium,Baseline,Historical mean of 89 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Salem,Humidex Heat Stress,Low,Baseline,Historical mean of 17 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Chandler,Humidex Heat Stress,High,Baseline,Historical mean of 110 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Lin Kou Plant (Taiwan),Humidex Heat Stress,Medium,Baseline,Historical mean of 50 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Zhongli Plant (Taiwan),Humidex Heat Stress,Very Low,Baseline,Historical mean of 1 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Tainan Plant (Taiwan),Humidex Heat Stress,High,Baseline,Historical mean of 138 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Europe HQ,Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Würzburg R&D (Germany),Humidex Heat Stress,Very Low,Baseline,Historical mean of 9 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Cluj (Romania),Humidex Heat Stress,Very Low,Baseline,Historical mean of 11 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Singapore,Humidex Heat Stress,Critical,Baseline,Historical mean of 365 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Garmin International,Garmin Birtley (UK),Humidex Heat Stress,Negligible,Baseline,Historical climatology shows negligible occurrence of humidex ≥ 40 at this location. Heat stress is not a material operational risk.
Garmin International,Garmin Australasia,Humidex Heat Stress,Medium,Baseline,Historical mean of 45 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,TTI Innovation Center,Humidex Heat Stress,High,Baseline,Historical mean of 132 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Global HQ,Humidex Heat Stress,Low,Baseline,Historical mean of 26 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Jackson Plant,Humidex Heat Stress,Very High,Baseline,Historical mean of 154 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Grenada Plant,Humidex Heat Stress,High,Baseline,Historical mean of 135 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Humidex Heat Stress,High,Baseline,Historical mean of 140 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Humidex Heat Stress,High,Baseline,Historical mean of 128 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Clinton Plant,Humidex Heat Stress,Very High,Baseline,Historical mean of 154 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool West Bend,Humidex Heat Stress,Low,Baseline,Historical mean of 24 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Empire Level (Subsidiary),Humidex Heat Stress,Low,Baseline,Historical mean of 28 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Milwaukee Tool Torreon,Humidex Heat Stress,Very High,Baseline,Historical mean of 174 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,TTI Floor Care N.A.,Humidex Heat Stress,High,Baseline,Historical mean of 127 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,TTI Dongguan Hub,Humidex Heat Stress,Very High,Baseline,Historical mean of 190 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,TTI Vietnam (SHTP),Humidex Heat Stress,Critical,Baseline,Historical mean of 358 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,DreBo Werkzeugfabrik,Humidex Heat Stress,Very Low,Baseline,Historical mean of 6 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Techtronic Industries,Ryobi Die Casting (USA),Humidex Heat Stress,Medium,Baseline,Historical mean of 79 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Humidex Heat Stress,Low,Baseline,Historical mean of 21 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Humidex Heat Stress,Low,Baseline,Historical mean of 21 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Humidex Heat Stress,Low,Baseline,Historical mean of 30 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",North America HQ,Humidex Heat Stress,Low,Baseline,Historical mean of 43 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Humidex Heat Stress,Medium,Baseline,Historical mean of 46 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Humidex Heat Stress,High,Baseline,Historical mean of 130 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Humidex Heat Stress,High,Baseline,Historical mean of 128 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Humidex Heat Stress,Very Low,Baseline,Historical mean of 1 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Humidex Heat Stress,Very Low,Baseline,Historical mean of 10 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Humidex Heat Stress,Very Low,Baseline,Historical mean of 6 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Humidex Heat Stress,Medium,Baseline,Historical mean of 81 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Humidex Heat Stress,High,Baseline,Historical mean of 91 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Humidex Heat Stress,Critical,Baseline,Historical mean of 360 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Humidex Heat Stress,Medium,Baseline,Historical mean of 60 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Humidex Heat Stress,Medium,Baseline,Historical mean of 67 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"S.C. Johnson & Son, Inc.",Toluca Plant,Humidex Heat Stress,Very Low,Baseline,Historical mean of 3 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Global Headquarters,Humidex Heat Stress,Medium,Baseline,Historical mean of 46 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Lippman Campus (Stow),Humidex Heat Stress,Medium,Baseline,Historical mean of 46 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Humidex Heat Stress,Medium,Baseline,Historical mean of 46 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Wooster Facility,Humidex Heat Stress,Medium,Baseline,Historical mean of 45 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Maple Heights Plant,Humidex Heat Stress,Low,Baseline,Historical mean of 44 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Ashland Dist. Center,Humidex Heat Stress,Low,Baseline,Historical mean of 42 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",Navarre Warehouse,Humidex Heat Stress,Medium,Baseline,Historical mean of 50 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Humidex Heat Stress,Very Low,Baseline,Historical mean of 0 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",GOJO France SARL,Humidex Heat Stress,Very Low,Baseline,Historical mean of 2 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",GOJO Australasia,Humidex Heat Stress,Low,Baseline,Historical mean of 35 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Humidex Heat Stress,Medium,Baseline,Historical mean of 77 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",GOJO América Latina,Humidex Heat Stress,Very High,Baseline,Historical mean of 154 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
"GOJO Industries, Inc.",GOJO Canada Inc.,Humidex Heat Stress,Low,Baseline,Historical mean of 25 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Humidex Heat Stress,High,Baseline,Historical mean of 117 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Humidex Heat Stress,High,Baseline,Historical mean of 127 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Humidex Heat Stress,Medium,Baseline,Historical mean of 70 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Humidex Heat Stress,Low,Baseline,Historical mean of 42 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Humidex Heat Stress,Very Low,Baseline,Historical mean of 5 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Humidex Heat Stress,Very Low,Baseline,Historical mean of 9 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Humidex Heat Stress,Very Low,Baseline,Historical mean of 2 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Humidex Heat Stress,Very High,Baseline,Historical mean of 180 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Humidex Heat Stress,Very High,Baseline,Historical mean of 208 days/year with humidex ≥ 40 (occupational heat stress threshold). Facilities in this zone should ensure adequate cooling and hydration provisions for outdoor and non-air-conditioned workers.
