supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
Garmin International,Global Headquarters,Humidex Heat Stress,High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project High risk (107 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Olathe Manufacturing,Humidex Heat Stress,High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project High risk (107 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Salem,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (25 days/year ≥ HX40).
Garmin International,Garmin Chandler,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (126 days/year ≥ HX40).
Garmin International,Lin Kou Plant (Taiwan),Humidex Heat Stress,High,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 95 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Garmin International,Zhongli Plant (Taiwan),Humidex Heat Stress,Medium,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 46 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Garmin International,Tainan Plant (Taiwan),Humidex Heat Stress,Very High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Very High risk (168 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Europe HQ,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (0 days/year ≥ HX40).
Garmin International,Würzburg R&D (Germany),Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (25 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Cluj (Romania),Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (30 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Garmin International,Garmin Singapore,Humidex Heat Stress,Critical,High,Stable,Within 5 Years,All SSP scenarios consistently project Critical risk (365 days/year ≥ HX40).
Garmin International,Garmin Birtley (UK),Humidex Heat Stress,Negligible,Medium,Stable,Within 5 Years,SSP scenario projections indicate negligible humidex heat stress risk over the 5-year horizon. Trend: Stable. Regional warming trends may modestly increase the frequency of high-humidex days.
Garmin International,Garmin Australasia,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (68 days/year ≥ HX40).
Techtronic Industries,TTI Innovation Center,Humidex Heat Stress,High,Medium,Stable,Within 5 Years,"SSP scenarios project 149 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways."
Techtronic Industries,Milwaukee Tool Global HQ,Humidex Heat Stress,Medium,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 46 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Milwaukee Tool Jackson Plant,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (174 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool Grenada Plant,Humidex Heat Stress,High,Medium,Stable,Within 5 Years,"SSP scenarios project 148 days/year ≥ HX40 under the central scenario, ranging from High to Very High risk across emissions pathways."
Techtronic Industries,Milwaukee Tool Greenwood Plant,Humidex Heat Stress,Very High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Very High risk (154 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (141 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool Clinton Plant,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (174 days/year ≥ HX40).
Techtronic Industries,Milwaukee Tool West Bend,Humidex Heat Stress,Low,Medium,Stable,Within 5 Years,"SSP scenarios project 44 days/year ≥ HX40 under the central scenario, ranging from Low to Medium risk across emissions pathways."
Techtronic Industries,Empire Level (Subsidiary),Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (50 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
Techtronic Industries,Milwaukee Tool Torreon,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (191 days/year ≥ HX40).
Techtronic Industries,TTI Floor Care N.A.,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (141 days/year ≥ HX40).
Techtronic Industries,TTI Dongguan Hub,Humidex Heat Stress,Very High,High,Stable,Within 5 Years,All SSP scenarios consistently project Very High risk (205 days/year ≥ HX40).
Techtronic Industries,TTI Vietnam (SHTP),Humidex Heat Stress,Critical,High,Stable,Within 5 Years,All SSP scenarios consistently project Critical risk (361 days/year ≥ HX40).
Techtronic Industries,DreBo Werkzeugfabrik,Humidex Heat Stress,Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 16 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
Techtronic Industries,Ryobi Die Casting (USA),Humidex Heat Stress,High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project High risk (100 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (41 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Waxdale Facility,Humidex Heat Stress,Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Low risk (41 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (48 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",North America HQ,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (65 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (70 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (144 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (144 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",SCJ Europlant,Humidex Heat Stress,Very Low,High,Stable,Within 5 Years,All SSP scenarios consistently project Very Low risk (5 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Humidex Heat Stress,Low,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Low risk (28 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Humidex Heat Stress,Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 17 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Humidex Heat Stress,High,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project High risk (111 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Humidex Heat Stress,High,High,Stable,Within 5 Years,All SSP scenarios consistently project High risk (113 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Humidex Heat Stress,Critical,High,Stable,Within 5 Years,All SSP scenarios consistently project Critical risk (362 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (88 days/year ≥ HX40).
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Humidex Heat Stress,High,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 95 days/year ≥ HX40 under the central scenario, ranging from Medium to High risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"S.C. Johnson & Son, Inc.",Toluca Plant,Humidex Heat Stress,Low,Medium,Deteriorating,Within 5 Years,"SSP scenarios project 14 days/year ≥ HX40 under the central scenario, ranging from Very Low to Low risk across emissions pathways. Projected increase in heat stress days relative to historical baseline."
"GOJO Industries, Inc.",Global Headquarters,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (61 days/year ≥ HX40).
"GOJO Industries, Inc.",Lippman Campus (Stow),Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (61 days/year ≥ HX40).
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (61 days/year ≥ HX40).
"GOJO Industries, Inc.",Wooster Facility,Humidex Heat Stress,Medium,High,Stable,Within 5 Years,All SSP scenarios consistently project Medium risk (61 days/year ≥ HX40).
"GOJO Industries, Inc.",Maple Heights Plant,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (59 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
"GOJO Industries, Inc.",Ashland Dist. Center,Humidex Heat Stress,Medium,High,Deteriorating,Within 5 Years,All SSP scenarios consistently project Medium risk (58 days/year ≥ HX40). Projected increase in heat stress days relative to historical baseline.
