WERCSmart Supplier,Site Name / Entity,Regulatory Flag,Summary Explainer,Action Items
Garmin International,Global Headquarters,,,
Garmin International,Olathe Manufacturing,High,"(CPSC Mandatory eFiling - July 2026)

As a domestic manufacturer of consumer-facing navigation tech (HS 8526), digital Certificates of Compliance (CoC) must be ready for automated filing.","Digital Certification Audit: Ensure all internal lab testing data is indexed and ready for immediate electronic filing with the CPSC to avoid ""Notice of Detention"" at logistics nodes."
Garmin International,Garmin Salem,High,"(CPSC Mandatory eFiling - July 2026)

Specific aviation/marine electronics produced here require verified digital safety documentation for domestic retail and commercial distribution.",Transition to e-Certificates: Digitally link manufacturing batch records to safety certificates to ensure zero friction during federal compliance audits.
Garmin International,Garmin Chandler,Medium,"(TSCA 8(a)(7) PFAS Reporting - Oct 2026)

R&D and hardware prototyping (HS 8526) often involve specialized resins and cables. Reporting of historical PFAS use is required by Oct 2026.",Aggregate Chemical Use History: Review 10-year procurement logs for specialized polymers and flame retardants to fulfill one-time EPA historical reporting.
Garmin International,Lin Kou Plant (Taiwan),High,"(IATA Lithium SoC - Jan 2026)

Major export hub for wearables and transmitters (HS 8517). All air-shipped units must maintain a State of Charge (SoC) $\le$ 30% for safety compliance.",Audit Charging Protocols: Verify manufacturing line output to ensure batteries in consumer devices are set to the mandated 30% SoC prior to air-freight staging.
Garmin International,Zhongli Plant (Taiwan),High,"(IATA Lithium SoC - Jan 2026)

High-volume wearables site. Compliance with the 30% SoC mandate is critical for maintaining uninterrupted air-freight channels to US/EU markets.","Verify Charging Compliance: Implement ""Step-Down"" charging protocols at the final assembly stage to meet 2026 lithium battery transport safety standards."
Garmin International,Tainan Plant (Taiwan),Medium,"(GHS Revision 9 Alignment - 2026)

New smart manufacturing expansion must align with updated GHS SDS requirements for battery and electronic components.",SDS Calibration: Update Safety Data Sheets for all battery-integrated components to match 2026 GHS Revision 9 standards for international trade.
Garmin International,Garmin Europe HQ,Critical,"(EU Ecodesign/ESPR - July 2026)

Logistics and distribution of consumer electronics in the UK/EU now trigger ""Unsold Goods"" reporting and digital traceability requirements.",Establish Traceability Links: Ensure all inventory in the Southampton hub is assigned digital identity tags to comply with new EU waste prevention and reporting laws.
Garmin International,Würzburg R&D,Medium,"(EU Battery Regulation - Feb 2026)

Automotive OEM and software R&D must provide ""Battery Passport"" data for integrated power units in automotive modules.",Aggregate Battery Metadata: Collect specific electrochemical data from R&D prototypes to support the creation of the mandatory Digital Battery Passport for EU market entry.
Garmin International,Garmin Cluj,Medium,"(EU Ecodesign/ESPR - July 2026)

Software and hardware integration must account for ""Repairability Index"" data requirements for consumer devices in the EU.","Verify Design Disclosure: Ensure technical files include the required ""Repairability and Durability"" metrics mandated by 2026 EU ecodesign standards."
Garmin International,Garmin Singapore,,,
Garmin International,Garmin Birtley (UK),Critical,"(EU Regulation 2026/405 - DPP)

Distribution of hardware must comply with the Digital Product Passport (DPP) framework for any products containing regulated chemical components.",Digital Labeling Integration: Coordinate with manufacturing sites to ensure all Birtley-distributed inventory features the mandatory QR-code data links for EU/UK compliance.
Garmin International,Garmin Australasia,,,
Techtronic Industries,TTI Innovation Center,High,"(CPSC Mandatory eFiling - July 2026)

R&D and production of electric hand tools (HS 8467) require digital Certificates of Compliance (CoC) for entry into US commerce.",Digital Certification Audit: Ensure all internal safety testing for new R&D prototypes is indexed for automated electronic filing with US Customs.
Techtronic Industries,Milwaukee Tool HQ,,,
Techtronic Industries,Milwaukee Jackson,High,"(IATA Lithium SoC - Jan 2026)

Manufacturing of cordless power tools (HS 8467). Integrated batteries must be shipped at $\le$ 30% State of Charge (SoC).",Audit Charging Protocols: Verify manufacturing line settings to ensure all cordless units are set to the mandated 30% SoC prior to outbound logistics.
Techtronic Industries,Milwaukee Grenada,Medium,"(Canada Toxic Substances Ban - June 2026)

Production of saw blades and accessories (HS 8202) requires verification of specialized coatings/flame retardants.",Chemical Composition Review: Audit coating formulations for Dechlorane Plus or DBDPE to ensure compliance with updated 2026 Canadian environmental standards.
