supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_drought_probabiltiy
Garmin International,Global Headquarters,Drought,Negligible,Medium,Medium,Within 5 Years,Administrative or non-industrial facility. No material drought exposure expected over a 5-year horizon. Regional drought projections do not affect operations at this facility type. SPEI-3 data: baseline mean (1990-2020) = 0.155; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.263; trend delta = +0.108.,13.4%
Garmin International,Olathe Manufacturing,Drought,Low,Medium,Medium,Within 5 Years,No significant drying trend detected in recent observed SPEI-3 data. Baseline drought frequency expected to remain low over this horizon. SPEI-3 data: baseline mean (1990-2020) = 0.155; drought frequency (SPEI-3 < -1.0) = 13.4%; recent mean (2015-2025) = 0.263; trend delta = +0.108.,13.4%
Garmin International,Garmin Salem,Drought,Medium,Medium,Medium,Within 5 Years,The 2015–2025 observed SPEI-3 mean (-0.57) is significantly lower than the 1990–2020 reference (-0.15) indicating a drying trend of Δ=-0.43. This is consistent with regional climate projections (IPCC AR6) for increasing drought frequency under SSP2-4.5 over the next decade. SPEI-3 data: baseline mean (1990-2020) = -0.148; drought frequency (SPEI-3 < -1.0) = 20.7%; recent mean (2015-2025) = -0.573; trend delta = -0.425.,20.7%
Garmin International,Garmin Chandler,Drought,Negligible,Medium,Medium,Within 5 Years,Administrative or non-industrial facility. No material drought exposure expected over a 5-year horizon. Regional drought projections do not affect operations at this facility type. SPEI-3 data: baseline mean (1990-2020) = -0.383; drought frequency (SPEI-3 < -1.0) = 29.8%; recent mean (2015-2025) = -0.766; trend delta = -0.383.,29.8%
Garmin International,Lin Kou Plant (Taiwan),Drought,High,Medium,Medium,Within 5 Years,The 2015–2025 observed SPEI-3 mean (-1.04) is significantly lower than the 1990–2020 reference (-0.25) indicating a drying trend of Δ=-0.79. This is consistent with regional climate projections (IPCC AR6) for increasing drought frequency under SSP2-4.5 over the next decade. SPEI-3 data: baseline mean (1990-2020) = -0.246; drought frequency (SPEI-3 < -1.0) = 25.5%; recent mean (2015-2025) = -1.038; trend delta = -0.792.,25.5%
Garmin International,Zhongli Plant (Taiwan),Drought,High,Medium,Medium,Within 5 Years,The 2015–2025 observed SPEI-3 mean (-0.82) is significantly lower than the 1990–2020 reference (-0.15) indicating a drying trend of Δ=-0.68. This is consistent with regional climate projections (IPCC AR6) for increasing drought frequency under SSP2-4.5 over the next decade. SPEI-3 data: baseline mean (1990-2020) = -0.147; drought frequency (SPEI-3 < -1.0) = 26.6%; recent mean (2015-2025) = -0.824; trend delta = -0.677.,26.6%
Garmin International,Tainan Plant (Taiwan),Drought,High,Medium,Medium,Within 5 Years,The 2015–2025 observed SPEI-3 mean (-1.05) is significantly lower than the 1990–2020 reference (-0.22) indicating a drying trend of Δ=-0.83. This is consistent with regional climate projections (IPCC AR6) for increasing drought frequency under SSP2-4.5 over the next decade. SPEI-3 data: baseline mean (1990-2020) = -0.22; drought frequency (SPEI-3 < -1.0) = 23.9%; recent mean (2015-2025) = -1.052; trend delta = -0.832.,23.9%
Garmin International,Garmin Europe HQ,Drought,Medium,Medium,Medium,Within 5 Years,No significant drying trend detected in recent observed SPEI-3 (2015–2025 mean: -0.01 vs reference -0.02). Baseline drought frequency expected to persist over this horizon. SPEI-3 data: baseline mean (1990-2020) = -0.018; drought frequency (SPEI-3 < -1.0) = 18.5%; recent mean (2015-2025) = -0.011; trend delta = +0.007.,18.5%
Garmin International,Würzburg R&D (Germany),Drought,Negligible,Medium,Medium,Within 5 Years,Administrative or non-industrial facility. No material drought exposure expected over a 5-year horizon. Regional drought projections do not affect operations at this facility type. SPEI-3 data: baseline mean (1990-2020) = -0.141; drought frequency (SPEI-3 < -1.0) = 22.0%; recent mean (2015-2025) = -0.267; trend delta = -0.126.,22.0%
Garmin International,Garmin Cluj (Romania),Drought,Negligible,Medium,Medium,Within 5 Years,Administrative or non-industrial facility. No material drought exposure expected over a 5-year horizon. Regional drought projections do not affect operations at this facility type. SPEI-3 data: baseline mean (1990-2020) = -0.305; drought frequency (SPEI-3 < -1.0) = 26.1%; recent mean (2015-2025) = -0.207; trend delta = +0.098.,26.1%
